Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
Dwight Powell,C,27,DAL,2,0,17.0,6.0,7.5,.800,0.5,1.5,.333,5.5,6.0,.917,.833,5.0,7.0,.714,2.0,3.5,5.5,1.0,0.5,1.0,1.5,2.0,17.5
Norman Powell,SG,25,TOR,3,1,15.3,2.0,4.3,.462,0.7,1.3,.500,1.3,3.0,.444,.538,0.0,0.0,,0.3,2.0,2.3,0.3,0.3,0.3,1.0,2.0,4.7
Alex Poythress,PF,25,ATL,3,0,22.0,2.7,5.0,.533,0.7,1.7,.400,2.0,3.3,.600,.600,0.7,2.3,.286,2.0,2.7,4.7,2.0,0.7,0.3,1.3,4.3,6.7
Julius Randle,C,24,NOP,2,0,24.0,7.5,13.5,.556,1.5,3.0,.500,6.0,10.5,.571,.611,2.5,5.0,.500,1.0,10.0,11.0,1.5,0.0,0.0,0.5,4.0,19.0
J.J. Redick,SG,34,PHI,3,0,28.7,7.0,16.0,.438,3.7,8.0,.458,3.3,8.0,.417,.552,1.3,1.3,1.000,0.3,2.7,3.0,2.0,0.7,0.0,0.3,1.0,19.0
Josh Richardson,SF,25,MIA,3,3,34.3,6.3,17.7,.358,2.7,9.0,.296,3.7,8.7,.423,.434,3.3,3.7,.909,1.3,3.0,4.3,3.3,0.7,0.7,2.7,3.0,18.7
Malachi Richardson,SG,23,TOR,1,0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austin Rivers,G,26,WAS,2,0,26.0,4.5,8.5,.529,1.0,4.0,.250,3.5,4.5,.778,.588,0.5,1.0,.500,0.5,0.5,1.0,2.0,0.0,1.0,0.5,2.5,10.5
Glenn Robinson,SF,25,DET,2,0,16.5,2.0,3.5,.571,0.5,1.0,.500,1.5,2.5,.600,.643,0.0,0.0,,0.0,1.0,1.0,0.0,0.5,0.5,1.0,0.0,4.5
Mitchell Robinson,C,20,NYK,2,0,5.5,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.5,1.0,.500,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.5,1.5
Rajon Rondo,G,32,LAL,2,2,30.5,6.0,10.5,.571,1.0,2.0,.500,5.0,8.5,.588,.619,0.0,0.0,,0.5,5.0,5.5,10.5,1.5,0.0,2.5,4.5,13.0
Derrick Rose,PG,30,MIN,3,0,28.7,5.7,13.0,.436,0.7,2.7,.250,5.0,10.3,.484,.462,4.0,4.7,.857,2.0,2.3,4.3,5.0,0.7,0.3,1.3,2.3,16.0
Terrence Ross,SG,27,ORL,3,0,24.7,3.7,11.0,.333,1.3,4.0,.333,2.3,7.0,.333,.394,2.3,2.3,1.000,0.3,2.7,3.0,2.0,1.3,1.3,0.7,2.0,11.0
Terry Rozier,PG,24,BOS,3,0,24.3,3.7,8.3,.440,1.7,3.0,.556,2.0,5.3,.375,.540,0.7,0.7,1.000,0.7,4.0,4.7,2.0,0.3,0.3,0.7,2.3,9.7
Ricky Rubio,PG,28,UTA,2,2,27.5,2.5,8.0,.313,1.5,3.5,.429,1.0,4.5,.222,.406,0.5,0.5,1.000,0.0,2.5,2.5,7.0,0.5,0.0,2.5,3.0,7.0
D'Angelo Russell,PG,22,BRK,3,3,29.7,4.3,12.3,.351,1.7,4.3,.385,2.7,8.0,.333,.419,1.3,1.7,.800,0.7,3.7,4.3,6.0,0.7,0.7,3.0,1.0,11.7
Domantas Sabonis,C,22,IND,2,0,25.5,5.5,8.5,.647,0.0,0.0,,5.5,8.5,.647,.647,2.0,3.0,.667,6.0,8.0,14.0,2.0,0.5,0.0,3.0,3.0,13.0
Dario Saric,PF,24,PHI,3,3,29.7,3.7,10.7,.344,1.7,6.0,.278,2.0,4.7,.429,.422,1.7,1.7,1.000,2.3,6.0,8.3,3.0,0.7,0.3,2.7,3.3,10.7
