Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
Alex Abrines,SG,25,OKC,3,0,20.3,2.3,6.3,.368,1.3,4.7,.286,1.0,1.7,.600,.474,0.0,0.0,,0.3,1.3,1.7,1.0,0.3,0.0,0.7,0.7,6.0
Jaylen Adams,G,22,ATL,2,0,2.5,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0
Steven Adams,C,25,OKC,3,3,34.3,5.7,10.0,.567,0.0,0.0,,5.7,10.0,.567,.567,3.3,6.0,.556,6.0,8.3,14.3,1.3,1.7,1.0,1.7,3.3,14.7
Bam Adebayo,C,21,MIA,3,0,18.3,2.7,6.3,.421,0.0,0.3,.000,2.7,6.0,.444,.421,3.0,4.0,.750,2.3,5.3,7.7,0.7,0.3,0.7,1.7,2.7,8.3
LaMarcus Aldridge,C,33,SAS,2,2,39.0,6.5,18.0,.361,0.0,1.0,.000,6.5,17.0,.382,.361,3.5,5.5,.636,6.5,7.0,13.5,3.5,1.0,2.0,1.0,1.0,16.5
Jarrett Allen,C,20,BRK,3,3,28.3,5.3,8.3,.640,0.7,1.7,.400,4.7,6.7,.700,.680,2.0,3.3,.600,1.7,6.3,8.0,0.0,0.0,3.0,2.7,1.3,13.3
Al-Farouq Aminu,F,28,POR,2,2,28.0,2.0,7.5,.267,1.0,4.5,.222,1.0,3.0,.333,.333,2.5,3.0,.833,0.0,6.0,6.0,0.5,0.5,0.5,0.5,3.0,7.5
Kyle Anderson,SF,25,MEM,2,0,19.5,1.5,4.5,.333,0.0,0.5,.000,1.5,4.0,.375,.333,1.0,2.0,.500,0.0,3.0,3.0,2.5,2.0,0.5,2.5,2.0,4.0
Ryan Anderson,PF,30,PHO,2,2,23.0,2.0,7.5,.267,1.0,4.5,.222,1.0,3.0,.333,.333,0.0,0.0,,2.0,2.0,4.0,2.5,0.0,0.0,0.5,0.5,5.0
Ike Anigbogu,F-C,20,IND,1,0,3.0,0.0,2.0,.000,0.0,0.0,,0.0,2.0,.000,.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
Giannis Antetokounmpo,PF,24,MIL,2,2,33.5,10.5,22.0,.477,0.0,5.0,.000,10.5,17.0,.618,.477,4.5,7.5,.600,3.0,13.5,16.5,6.5,1.0,1.0,7.0,4.5,25.5
Carmelo Anthony,PF,34,HOU,3,0,27.7,3.0,9.3,.321,1.0,5.0,.200,2.0,4.3,.462,.375,1.3,2.0,.667,0.7,6.0,6.7,0.7,0.3,0.3,1.7,3.0,8.3
OG Anunoby,SF,21,TOR,3,1,22.7,3.7,6.3,.579,1.0,2.7,.375,2.7,3.7,.727,.658,0.0,0.0,,1.0,1.7,2.7,0.3,0.7,0.0,1.0,3.3,8.3
Ryan Arcidiacono,G,24,CHI,2,0,24.0,2.0,3.5,.571,1.5,2.5,.600,0.5,1.0,.500,.786,0.0,0.0,,0.0,2.5,2.5,7.5,0.0,0.0,0.5,0.0,5.5
Trevor Ariza,SF,33,PHO,2,2,33.0,4.5,9.5,.474,3.0,7.5,.400,1.5,2.0,.750,.632,1.0,1.0,1.000,0.5,5.0,5.5,4.0,0.5,0.5,1.5,2.0,13.0
D.J. Augustin,PG,31,ORL,3,3,26.0,2.3,7.3,.318,0.3,2.0,.167,2.0,5.3,.375,.341,2.3,2.3,1.000,0.7,1.0,1.7,4.3,0.3,0.0,1.3,0.3,7.3
Deandre Ayton,F-C,20,PHO,2,2,29.5,5.0,9.0,.556,0.0,0.0,,5.0,9.0,.556,.556,1.5,2.0,.750,1.0,8.0,9.0,3.5,0.5,0.5,1.0,3.5,11.5
Dwayne Bacon,G,23,CHO,1,0,8.0,2.0,5.0,.400,1.0,2.0,.500,1.0,3.0,.333,.500,2.0,2.0,1.000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,7.0
Marvin Bagley,F,19,SAC,3,0,22.7,5.0,9.7,.517,0.0,1.0,.000,5.0,8.7,.577,.517,2.7,4.0,.667,2.7,4.0,6.7,1.0,1.3,0.3,1.7,3.3,12.7
Ron Baker,SG,25,NYK,3,0,19.3,0.3,2.3,.143,0.0,2.0,.000,0.3,0.3,1.000,.143,1.0,1.3,.750,0.0,1.3,1.3,2.3,0.3,0.0,0.7,3.7,1.7
Wade Baldwin,G,22,POR,1,0,3.0,0.0,2.0,.000,0.0,1.0,.000,0.0,1.0,.000,.000,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
Lonzo Ball,G,21,LAL,2,0,23.0,3.5,8.5,.412,2.5,6.0,.417,1.0,2.5,.400,.559,1.0,1.0,1.000,1.5,3.5,5.0,2.5,0.5,0.0,0.5,2.5,10.5
Mohamed Bamba,C,20,ORL,3,0,19.3,2.7,5.3,.500,0.7,2.0,.333,2.0,3.3,.600,.563,0.0,0.7,.000,1.7,2.7,4.3,1.3,0.0,2.0,0.7,1.0,6.0
J.J. Barea,PG,34,DAL,2,0,21.0,3.5,9.0,.389,1.5,4.0,.375,2.0,5.0,.400,.472,2.0,2.5,.800,0.5,1.5,2.0,10.5,1.5,0.0,0.5,1.5,10.5
Will Barton,SG,28,DEN,2,2,27.0,6.0,10.5,.571,2.5,4.5,.556,3.5,6.0,.583,.690,2.0,2.0,1.000,0.0,5.0,5.0,3.0,0.5,1.0,1.5,2.5,16.5
Nicolas Batum,SG,30,CHO,3,3,34.7,3.3,8.7,.385,2.0,5.0,.400,1.3,3.7,.364,.500,0.7,0.7,1.000,0.7,5.0,5.7,4.0,1.7,0.7,1.7,1.3,9.3
Aron Baynes,C,32,BOS,3,1,15.0,2.7,6.7,.400,1.0,2.7,.375,1.7,4.0,.417,.475,1.3,1.7,.800,3.3,1.7,5.0,1.0,0.0,0.3,0.7,1.7,7.7
Kent Bazemore,SG,29,ATL,3,3,28.3,4.7,9.3,.500,2.0,4.7,.429,2.7,4.7,.571,.607,2.0,3.0,.667,1.3,5.0,6.3,1.7,1.7,1.0,2.0,3.0,13.3
Bradley Beal,G,25,WAS,2,2,31.0,9.5,18.5,.514,4.0,9.0,.444,5.5,9.5,.579,.622,3.0,5.0,.600,0.0,2.0,2.0,4.0,1.0,0.5,1.0,5.0,26.0
Malik Beasley,SG,22,DEN,3,0,10.3,1.3,3.3,.400,0.3,1.3,.250,1.0,2.0,.500,.450,0.0,0.0,,0.3,1.3,1.7,0.3,0.7,0.0,0.7,1.7,3.0
Michael Beasley,F,30,LAL,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Marco Belinelli,SG,32,SAS,2,0,19.0,1.5,6.0,.250,1.0,2.5,.400,0.5,3.5,.143,.333,2.0,2.5,.800,0.0,2.5,2.5,2.5,0.0,0.0,0.5,2.0,6.0
Jordan Bell,C,24,GSW,2,0,5.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,1.0,1.0,1.000,0.5,0.5,1.0,0.0,0.0,0.5,0.0,1.0,1.0
DeAndre' Bembry,SF,24,ATL,3,0,24.0,3.3,7.7,.435,1.3,2.0,.667,2.0,5.7,.353,.522,1.0,2.7,.375,0.3,3.0,3.3,2.0,1.7,0.3,2.7,2.0,9.0
Dragan Bender,F,21,PHO,1,0,4.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Davis Bertans,PF,26,SAS,2,0,19.0,3.5,6.0,.583,3.0,5.0,.600,0.5,1.0,.500,.833,0.0,0.0,,1.5,1.0,2.5,2.0,0.0,0.5,0.5,0.5,10.0
Patrick Beverley,SG,30,LAC,3,3,22.7,0.7,5.7,.118,0.3,3.7,.091,0.3,2.0,.167,.147,2.0,2.0,1.000,0.3,3.7,4.0,4.3,1.3,0.3,1.3,3.3,3.7
Khem Birch,C-F,26,ORL,1,0,10.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Bismack Biyombo,C-F,26,CHO,1,0,5.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
Nemanja Bjelica,PF,30,SAC,3,3,23.0,5.0,7.7,.652,1.3,2.0,.667,3.7,5.7,.647,.739,0.0,0.0,,0.3,4.3,4.7,2.3,1.3,0.3,0.3,2.3,11.3
Antonio Blakeney,G,22,CHI,2,0,26.0,5.5,11.0,.500,0.5,1.5,.333,5.0,9.5,.526,.523,1.0,1.5,.667,0.0,4.5,4.5,1.0,0.5,0.0,0.5,1.0,12.5
Eric Bledsoe,PG,29,MIL,2,2,30.0,6.0,11.0,.545,2.5,5.0,.500,3.5,6.0,.583,.659,0.0,0.0,,2.5,2.5,5.0,5.0,1.0,1.5,1.0,3.0,14.5
Bojan Bogdanovic,SF,29,IND,3,3,27.3,4.0,8.0,.500,2.0,2.7,.750,2.0,5.3,.375,.625,2.3,2.7,.875,0.0,4.3,4.3,0.0,0.0,0.0,1.7,1.0,12.3
Jonah Bolden,F,23,PHI,2,0,2.0,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Devin Booker,SG,22,PHO,2,2,35.0,8.5,17.0,.500,3.5,8.0,.438,5.0,9.0,.556,.603,9.5,11.5,.826,0.0,3.0,3.0,7.0,0.5,0.0,4.5,3.5,30.0
Avery Bradley,SG,28,LAC,3,3,27.0,2.3,7.7,.304,0.3,2.7,.125,2.0,5.0,.400,.326,0.0,0.0,,1.0,0.7,1.7,1.7,1.0,0.7,1.0,2.7,5.0
Mikal Bridges,G,22,PHO,2,0,7.5,2.0,3.0,.667,1.0,2.0,.500,1.0,1.0,1.000,.833,0.0,0.5,.000,0.5,1.5,2.0,1.0,1.0,0.0,0.0,0.0,5.0
Miles Bridges,G-F,20,CHO,2,0,14.5,3.0,4.5,.667,1.5,2.0,.750,1.5,2.5,.600,.833,0.5,1.0,.500,1.0,3.0,4.0,1.5,0.0,0.5,1.0,1.5,8.0
Isaiah Briscoe,G,22,ORL,2,0,8.0,2.0,3.5,.571,0.5,0.5,1.000,1.5,3.0,.500,.643,0.5,1.5,.333,0.0,0.5,0.5,1.5,0.0,0.0,0.5,1.0,5.0
Ryan Broekhoff,F,28,DAL,2,0,4.0,1.0,3.0,.333,1.0,3.0,.333,0.0,0.0,,.500,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,3.0
Malcolm Brogdon,PG,26,MIL,2,2,32.5,5.0,9.0,.556,2.0,5.0,.400,3.0,4.0,.750,.667,0.5,0.5,1.000,0.0,3.5,3.5,6.5,1.5,0.0,3.0,2.5,12.5
Dillon Brooks,SF,23,MEM,2,0,11.5,0.5,4.0,.125,0.0,0.5,.000,0.5,3.5,.143,.125,1.0,2.0,.500,0.5,0.0,0.5,0.5,0.0,0.0,1.0,2.0,2.0
MarShon Brooks,SG,30,MEM,1,0,22.0,2.0,9.0,.222,0.0,3.0,.000,2.0,6.0,.333,.222,5.0,7.0,.714,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,9.0
Bruce Brown,G,22,DET,1,1,19.0,0.0,3.0,.000,0.0,2.0,.000,0.0,1.0,.000,.000,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,1.0,1.0,4.0,0.0
Jaylen Brown,SG,22,BOS,3,3,30.3,4.0,10.7,.375,1.3,3.7,.364,2.7,7.0,.381,.438,1.3,2.3,.571,2.0,2.7,4.7,1.3,0.3,0.0,1.7,3.7,10.7
Lorenzo Brown,PG,28,TOR,2,0,5.0,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0
Sterling Brown,SG,23,MIL,2,0,2.0,0.5,0.5,1.000,0.0,0.0,,0.5,0.5,1.000,1.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Jalen Brunson,G,22,DAL,2,0,19.5,2.0,5.0,.400,1.0,3.5,.286,1.0,1.5,.667,.500,0.0,0.0,,0.0,0.5,0.5,1.0,0.5,0.0,0.5,0.5,5.0
Reggie Bullock,G-F,27,DET,1,1,30.0,5.0,13.0,.385,1.0,4.0,.250,4.0,9.0,.444,.423,5.0,5.0,1.000,0.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,16.0
Trey Burke,PG,26,NYK,3,3,27.0,4.7,11.3,.412,1.3,4.0,.333,3.3,7.3,.455,.471,0.7,1.7,.400,1.3,2.3,3.7,5.7,1.0,0.0,1.0,1.7,11.3
Alec Burks,SG,27,UTA,2,0,15.0,2.5,7.0,.357,1.5,3.0,.500,1.0,4.0,.250,.464,2.5,2.5,1.000,0.0,1.5,1.5,2.0,0.5,0.0,0.5,0.5,9.0
Deonte Burton,G,27,OKC,2,0,4.0,1.0,2.0,.500,0.5,1.0,.500,0.5,1.0,.500,.625,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,2.5
Jimmy Butler,SG,29,MIN,2,2,34.0,9.5,17.5,.543,1.0,2.5,.400,8.5,15.0,.567,.571,8.0,8.5,.941,2.5,4.5,7.0,3.0,4.0,1.5,1.5,1.0,28.0
Jose Calderon,G,37,DET,1,0,4.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Kentavious Caldwell-Pope,G,25,LAL,2,2,22.5,1.5,5.5,.273,0.5,2.0,.250,1.0,3.5,.286,.318,1.5,2.0,.750,0.0,2.5,2.5,0.5,0.0,0.0,0.0,0.5,5.0
Isaiah Canaan,PG,27,PHO,2,2,31.5,4.0,9.0,.444,2.5,5.0,.500,1.5,4.0,.375,.583,1.0,1.5,.667,1.0,4.0,5.0,4.5,0.5,0.0,1.5,3.5,11.5
Clint Capela,C,24,HOU,3,3,31.0,8.0,13.0,.615,0.0,0.0,,8.0,13.0,.615,.615,0.7,1.7,.400,1.7,7.0,8.7,2.0,0.0,1.7,1.3,3.0,16.7
Vince Carter,SF,42,ATL,3,3,19.0,2.3,6.3,.368,1.7,4.3,.385,0.7,2.0,.333,.500,2.0,2.0,1.000,0.0,1.3,1.3,1.0,0.3,0.3,1.0,2.3,8.3
Wendell Carter,C,19,CHI,2,2,19.0,4.0,8.0,.500,0.0,0.0,,4.0,8.0,.500,.500,0.0,0.0,,0.5,2.0,2.5,2.0,0.0,1.5,1.5,3.5,8.0
Michael Carter-Williams,PG,27,HOU,3,0,11.3,1.7,5.3,.313,0.3,1.0,.333,1.3,4.3,.308,.344,0.3,1.3,.250,0.7,2.0,2.7,1.7,0.3,1.0,1.7,2.0,4.0
Omri Casspi,F,30,MEM,1,0,24.0,4.0,8.0,.500,0.0,2.0,.000,4.0,6.0,.667,.500,3.0,6.0,.500,1.0,3.0,4.0,2.0,0.0,0.0,0.0,2.0,11.0
Willie Cauley-Stein,C,25,SAC,3,3,29.0,8.3,13.3,.625,0.0,0.0,,8.3,13.3,.625,.625,2.0,3.7,.545,2.7,4.3,7.0,2.3,0.7,0.7,0.7,3.3,18.7
Tyson Chandler,C,36,PHO,2,0,14.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,1.0,3.0,.333,0.5,6.0,6.5,1.0,0.5,0.0,0.0,4.0,1.0
Gary Clark,F,24,HOU,2,0,2.0,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0
Ian Clark,G,27,NOP,1,0,18.0,4.0,4.0,1.000,3.0,3.0,1.000,1.0,1.0,1.000,1.375,2.0,2.0,1.000,0.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,13.0
Jordan Clarkson,SG,26,CLE,3,0,23.3,7.3,13.7,.537,1.3,3.7,.364,6.0,10.0,.600,.585,1.7,2.0,.833,0.3,3.0,3.3,1.0,0.3,0.3,1.3,2.0,17.7
Zach Collins,C-F,21,POR,2,0,21.0,3.5,4.5,.778,1.0,2.0,.500,2.5,2.5,1.000,.889,0.5,1.0,.500,1.0,4.5,5.5,1.0,0.5,3.0,1.5,4.5,8.5
Darren Collison,PG,31,IND,3,3,23.7,3.0,6.3,.474,0.7,1.7,.400,2.3,4.7,.500,.526,1.0,1.3,.750,0.3,1.3,1.7,3.7,0.7,0.0,2.0,2.3,7.7
Mike Conley,PG,31,MEM,2,2,27.0,4.5,12.0,.375,2.0,5.0,.400,2.5,7.0,.357,.458,2.5,3.0,.833,0.5,2.5,3.0,7.0,0.5,0.0,0.5,2.5,13.5
Pat Connaughton,G,26,MIL,1,0,4.0,0.0,2.0,.000,0.0,1.0,.000,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Quinn Cook,PG,25,GSW,3,0,9.0,0.3,1.0,.333,0.3,0.7,.500,0.0,0.3,.000,.500,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.3,1.7,1.0
Robert Covington,SF,28,PHI,3,3,34.0,4.3,10.3,.419,3.0,7.7,.391,1.3,2.7,.500,.565,1.7,1.7,1.000,0.3,4.7,5.0,1.0,2.0,1.0,2.0,2.0,13.3
Allen Crabbe,G-F,26,BRK,2,0,22.0,2.0,6.5,.308,1.5,5.0,.300,0.5,1.5,.333,.423,2.0,2.5,.800,0.0,3.5,3.5,0.0,0.0,0.5,2.0,3.0,7.5
Torrey Craig,G-F,28,DEN,2,1,21.0,1.5,4.0,.375,0.5,3.0,.167,1.0,1.0,1.000,.438,0.0,0.0,,2.0,3.0,5.0,1.5,0.5,1.0,0.5,5.0,3.5
Jamal Crawford,G,38,PHO,1,0,7.0,0.0,2.0,.000,0.0,1.0,.000,0.0,1.0,.000,.000,3.0,3.0,1.000,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,3.0
Jae Crowder,SF,28,UTA,2,0,31.0,3.0,7.0,.429,2.0,5.0,.400,1.0,2.0,.500,.571,7.0,8.0,.875,0.5,5.5,6.0,2.0,1.0,0.0,0.0,1.5,15.0
Dante Cunningham,SF,31,SAS,2,0,11.5,0.5,3.0,.167,0.5,1.0,.500,0.0,2.0,.000,.250,0.0,0.0,,0.5,1.0,1.5,1.0,0.0,0.0,0.5,1.0,1.5
Seth Curry,G,28,POR,2,0,15.0,2.5,6.0,.417,1.5,3.0,.500,1.0,3.0,.333,.542,0.5,0.5,1.000,0.5,2.0,2.5,0.5,0.0,0.0,1.0,1.0,7.0
Stephen Curry,PG,30,GSW,3,3,37.7,11.3,22.3,.507,5.3,11.3,.471,6.0,11.0,.545,.627,3.0,3.3,.900,0.3,5.0,5.3,7.7,1.0,0.0,3.0,3.3,31.0
Troy Daniels,SG,27,PHO,1,0,4.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Davis,PF,25,NOP,2,2,33.0,10.5,16.5,.636,0.5,0.5,1.000,10.0,16.0,.625,.652,7.0,9.5,.737,3.0,10.0,13.0,7.0,2.5,2.5,2.5,3.0,28.5
Ed Davis,C,29,BRK,3,0,17.0,2.3,3.7,.636,0.0,0.0,,2.3,3.7,.636,.636,1.0,1.7,.600,1.7,6.7,8.3,1.7,0.7,0.7,1.0,2.0,5.7
Sam Dekker,PF,24,CLE,3,0,13.3,1.7,3.3,.500,0.7,1.7,.400,1.0,1.7,.600,.600,1.3,2.0,.667,1.0,3.0,4.0,0.7,1.0,0.0,1.0,1.7,5.3
Matthew Dellavedova,G,28,MIL,1,0,4.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
DeMar DeRozan,SG,29,SAS,2,2,36.5,10.5,21.5,.488,0.5,2.0,.250,10.0,19.5,.513,.500,6.5,8.5,.765,0.5,3.0,3.5,6.5,1.0,0.0,2.5,3.0,28.0
Cheick Diallo,PF,22,NOP,2,0,3.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.5,0.0,2.0
Hamidou Diallo,G,20,OKC,3,0,12.7,2.3,4.0,.583,0.3,0.7,.500,2.0,3.3,.600,.625,1.0,1.7,.600,1.0,0.7,1.7,1.0,1.0,0.0,0.3,2.7,6.0
Gorgui Dieng,C,29,MIN,3,0,17.3,4.0,6.0,.667,0.3,1.3,.250,3.7,4.7,.786,.694,2.7,3.3,.800,1.3,3.7,5.0,1.3,1.0,0.7,1.0,3.7,11.0
Spencer Dinwiddie,PG,25,BRK,3,0,30.0,6.0,13.7,.439,1.3,4.7,.286,4.7,9.0,.519,.488,2.0,3.0,.667,0.3,2.3,2.7,5.3,0.7,0.0,3.0,3.0,15.3
Donte DiVincenzo,G,22,MIL,2,0,21.0,2.5,5.5,.455,1.5,4.0,.375,1.0,1.5,.667,.591,1.5,2.0,.750,0.5,1.5,2.0,0.5,1.0,0.0,2.5,2.0,8.0
Luka Doncic,G-F,19,DAL,2,2,34.0,6.5,16.0,.406,2.0,7.0,.286,4.5,9.0,.500,.469,3.0,5.5,.545,1.5,5.5,7.0,3.5,1.0,0.5,5.0,3.0,18.0
Tyler Dorsey,SG,22,ATL,2,0,13.5,2.0,5.5,.364,0.5,1.5,.333,1.5,4.0,.375,.409,0.0,0.0,,0.0,1.5,1.5,1.0,0.0,0.0,0.0,1.5,4.5
Damyean Dotson,G,24,NYK,1,0,22.0,4.0,8.0,.500,2.0,5.0,.400,2.0,3.0,.667,.625,0.0,0.0,,0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,10.0
Goran Dragic,PG,32,MIA,3,3,34.3,6.3,16.3,.388,2.0,6.3,.316,4.3,10.0,.433,.449,3.3,4.3,.769,1.3,3.3,4.7,6.3,0.3,0.7,2.3,3.0,18.0
Andre Drummond,C,25,DET,2,2,28.0,7.5,17.0,.441,0.5,2.5,.200,7.0,14.5,.483,.456,1.5,2.0,.750,6.5,10.0,16.5,1.0,0.0,1.0,2.5,5.5,17.0
Jared Dudley,PF,33,BRK,3,3,28.7,1.3,4.3,.308,0.7,3.0,.222,0.7,1.3,.500,.385,0.3,0.7,.500,1.0,2.3,3.3,3.3,1.3,0.0,0.0,3.3,3.7
Kevin Durant,PF,30,GSW,3,3,38.7,10.0,21.7,.462,0.3,3.3,.100,9.7,18.3,.527,.469,8.0,8.7,.923,0.3,9.0,9.3,6.7,1.0,1.0,3.0,3.0,28.3
Joel Embiid,C,24,PHI,3,3,34.3,10.3,20.3,.508,1.3,4.0,.333,9.0,16.3,.551,.541,6.3,7.7,.826,2.3,8.3,10.7,2.7,0.7,2.0,2.3,3.0,28.3
James Ennis,SF,28,HOU,3,3,23.3,2.3,6.3,.368,2.0,4.7,.429,0.3,1.7,.200,.526,0.0,0.0,,2.0,1.0,3.0,1.0,1.0,0.0,0.7,4.0,6.7
Drew Eubanks,F,21,SAS,1,0,3.0,1.0,2.0,.500,0.0,0.0,,1.0,2.0,.500,.500,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Tyreke Evans,PG,29,IND,3,0,22.7,5.3,11.3,.471,1.0,3.0,.333,4.3,8.3,.520,.515,1.3,2.7,.500,0.7,3.3,4.0,4.0,1.7,0.7,1.3,2.7,13.0
Dante Exum,PG,23,UTA,2,0,22.0,4.0,7.0,.571,1.0,2.0,.500,3.0,5.0,.600,.643,4.0,5.5,.727,0.5,2.5,3.0,2.0,0.0,0.0,1.0,1.0,13.0
Kenneth Faried,F,29,BRK,1,0,7.0,4.0,4.0,1.000,0.0,0.0,,4.0,4.0,1.000,1.000,0.0,0.0,,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,8.0
Derrick Favors,C,27,UTA,2,2,22.5,4.5,6.5,.692,0.0,0.5,.000,4.5,6.0,.750,.692,2.5,5.0,.500,2.5,4.5,7.0,0.5,1.0,0.5,3.0,2.0,11.5
Raymond Felton,PG,34,OKC,2,0,16.0,3.0,8.5,.353,0.0,3.0,.000,3.0,5.5,.545,.353,3.0,3.5,.857,0.5,3.0,3.5,2.0,0.0,0.5,1.5,1.0,9.0
Terrance Ferguson,SG,20,OKC,3,3,21.0,0.7,5.0,.133,0.3,3.7,.091,0.3,1.3,.250,.167,0.3,0.7,.500,1.0,1.0,2.0,0.3,0.3,0.0,0.7,2.7,2.0
Yogi Ferrell,SG,25,SAC,3,2,23.7,3.0,5.7,.529,1.0,2.3,.429,2.0,3.3,.600,.618,2.3,2.3,1.000,0.3,2.0,2.3,1.0,0.7,0.3,1.0,1.0,9.3
Dorian Finney-Smith,PF,25,DAL,2,2,30.0,3.5,7.0,.500,2.0,5.0,.400,1.5,2.0,.750,.643,1.0,1.0,1.000,2.0,3.0,5.0,2.0,0.5,1.5,1.0,3.5,10.0
Bryn Forbes,SG,25,SAS,2,2,28.5,5.0,11.5,.435,3.0,6.5,.462,2.0,5.0,.400,.565,1.0,1.0,1.000,0.5,2.0,2.5,2.5,1.0,0.0,1.0,3.0,14.0
Evan Fournier,SF,26,ORL,3,3,27.3,7.3,17.7,.415,2.7,8.0,.333,4.7,9.7,.483,.491,1.3,2.3,.571,0.3,2.3,2.7,3.0,0.7,0.0,1.0,2.7,18.7
De'Aaron Fox,PG,21,SAC,3,3,35.3,7.0,13.3,.525,0.3,2.3,.143,6.7,11.0,.606,.538,6.0,7.7,.783,0.7,4.3,5.0,7.7,1.3,0.3,3.7,3.0,20.3
Tim Frazier,G,28,NOP,1,0,4.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Markelle Fultz,SG,20,PHI,3,3,26.3,3.7,11.0,.333,0.3,1.0,.333,3.3,10.0,.333,.348,0.7,1.3,.500,1.7,2.0,3.7,4.7,1.3,0.0,1.7,2.7,8.3
Danilo Gallinari,SF,30,LAC,3,3,31.0,7.3,16.0,.458,3.0,6.3,.474,4.3,9.7,.448,.552,3.0,3.3,.900,2.0,5.3,7.3,2.0,0.0,0.3,1.0,3.3,20.7
Langston Galloway,SG,27,DET,2,0,29.5,2.0,6.0,.333,1.0,5.0,.200,1.0,1.0,1.000,.417,1.0,1.0,1.000,0.5,1.5,2.0,2.0,0.5,0.0,0.0,0.0,6.0
Marc Gasol,C,34,MEM,2,2,29.5,3.0,9.0,.333,1.5,3.0,.500,1.5,6.0,.250,.417,5.5,6.0,.917,0.5,6.0,6.5,4.0,1.5,0.0,1.0,0.5,13.0
Pau Gasol,C,38,SAS,2,0,20.0,2.5,4.5,.556,1.0,1.0,1.000,1.5,3.5,.429,.667,1.5,2.0,.750,2.0,3.5,5.5,4.0,0.0,0.0,0.5,1.5,7.5
Rudy Gay,PF,32,SAS,2,2,25.0,6.5,12.5,.520,1.5,2.5,.600,5.0,10.0,.500,.580,0.5,1.0,.500,2.0,5.0,7.0,0.5,0.0,0.5,1.5,4.0,15.0
Paul George,SF,28,OKC,3,3,36.0,8.7,22.7,.382,3.3,10.7,.313,5.3,12.0,.444,.456,4.7,5.7,.824,0.3,5.0,5.3,3.7,3.0,0.0,4.0,4.7,25.3
